columns,left_missing_errors,right_missing_errors,total_errors,name
col1_boolean-col2_boolean,0,0,0,file_1.csv
col3_boolean-col4_boolean,0,0,0,file_1.csv
col5_float-col6_float,0,0,0,file_1.csv
col7_float-col8_float,0,0,0,file_1.csv
col9_float-col10_float,0,0,0,file_1.csv
col11_float-col12_float,0,0,0,file_1.csv
col13_float-col14_float,0,0,0,file_1.csv
col15_float-col16_float,0,0,0,file_1.csv
col17_float-col18_float,0,0,0,file_1.csv
col19_float-col20_float,0,0,0,file_1.csv
col21_float-col22_float,0,0,0,file_1.csv
col23_float-col24_float,0,0,0,file_1.csv
col25_float-col26_float,0,0,0,file_1.csv
col27_float-col28_float,0,0,0,file_1.csv
col31_integer-col32_integer,0,0,0,file_1.csv
col33_integer-col34_integer,0,0,0,file_1.csv
col35_integer-col36_integer,0,0,0,file_1.csv
col1_boolean-col2_boolean,0,0,0,file_10.csv
col3_boolean-col4_boolean,0,0,0,file_10.csv
col5_float-col6_float,0,0,0,file_10.csv
col7_float-col8_float,0,0,0,file_10.csv
col9_float-col10_float,0,0,0,file_10.csv
col11_float-col12_float,0,0,0,file_10.csv
col13_float-col14_float,0,0,0,file_10.csv
col15_float-col16_float,0,0,0,file_10.csv
col17_float-col18_float,0,0,0,file_10.csv
col19_float-col20_float,0,0,0,file_10.csv
col21_float-col22_float,0,0,0,file_10.csv
col23_float-col24_float,0,0,0,file_10.csv
col25_float-col26_float,0,0,0,file_10.csv
col27_float-col28_float,0,0,0,file_10.csv
col31_integer-col32_integer,0,0,0,file_10.csv
col33_integer-col34_integer,0,0,0,file_10.csv
col35_integer-col36_integer,0,0,0,file_10.csv
col1_boolean-col2_boolean,0,0,0,file_100.csv
col3_boolean-col4_boolean,0,0,0,file_100.csv
col5_float-col6_float,0,0,0,file_100.csv
col7_float-col8_float,0,0,0,file_100.csv
col9_float-col10_float,0,0,0,file_100.csv
col11_float-col12_float,0,0,0,file_100.csv
col13_float-col14_float,0,0,0,file_100.csv
col15_float-col16_float,0,0,0,file_100.csv
col17_float-col18_float,0,0,0,file_100.csv
col19_float-col20_float,0,0,0,file_100.csv
col21_float-col22_float,0,0,0,file_100.csv
col23_float-col24_float,0,0,0,file_100.csv
col25_float-col26_float,0,0,0,file_100.csv
col27_float-col28_float,0,0,0,file_100.csv
col31_integer-col32_integer,0,0,0,file_100.csv
col33_integer-col34_integer,0,0,0,file_100.csv
col35_integer-col36_integer,0,0,0,file_100.csv
col1_boolean-col2_boolean,0,0,0,file_1000.csv
col3_boolean-col4_boolean,0,0,0,file_1000.csv
col5_float-col6_float,0,0,0,file_1000.csv
col7_float-col8_float,0,0,0,file_1000.csv
col9_float-col10_float,0,0,0,file_1000.csv
col11_float-col12_float,0,0,0,file_1000.csv
col13_float-col14_float,0,0,0,file_1000.csv
col15_float-col16_float,0,0,0,file_1000.csv
col17_float-col18_float,0,0,0,file_1000.csv
col19_float-col20_float,0,0,0,file_1000.csv
col21_float-col22_float,0,0,0,file_1000.csv
col23_float-col24_float,0,0,0,file_1000.csv
col25_float-col26_float,0,0,0,file_1000.csv
col27_float-col28_float,0,0,0,file_1000.csv
col31_integer-col32_integer,0,0,0,file_1000.csv
col33_integer-col34_integer,0,0,0,file_1000.csv
col35_integer-col36_integer,0,0,0,file_1000.csv
col1_boolean-col2_boolean,0,0,0,file_1001.csv
col3_boolean-col4_boolean,0,0,0,file_1001.csv
col5_float-col6_float,0,0,0,file_1001.csv
col7_float-col8_float,0,0,0,file_1001.csv
col9_float-col10_float,0,0,0,file_1001.csv
col11_float-col12_float,0,0,0,file_1001.csv
col13_float-col14_float,0,0,0,file_1001.csv
col15_float-col16_float,0,0,0,file_1001.csv
col17_float-col18_float,0,0,0,file_1001.csv
col19_float-col20_float,0,0,0,file_1001.csv
col21_float-col22_float,0,0,0,file_1001.csv
col23_float-col24_float,0,0,0,file_1001.csv
col25_float-col26_float,0,0,0,file_1001.csv
col27_float-col28_float,0,0,0,file_1001.csv
col31_integer-col32_integer,0,0,0,file_1001.csv
col33_integer-col34_integer,0,0,0,file_1001.csv
col35_integer-col36_integer,0,0,0,file_1001.csv
col1_boolean-col2_boolean,0,0,0,file_1002.csv
col3_boolean-col4_boolean,0,0,0,file_1002.csv
col5_float-col6_float,0,0,0,file_1002.csv
col7_float-col8_float,0,0,0,file_1002.csv
col9_float-col10_float,0,0,0,file_1002.csv
col11_float-col12_float,0,0,0,file_1002.csv
col13_float-col14_float,0,0,0,file_1002.csv
col15_float-col16_float,0,0,0,file_1002.csv
col17_float-col18_float,0,0,0,file_1002.csv
col19_float-col20_float,0,0,0,file_1002.csv
col21_float-col22_float,0,0,0,file_1002.csv
col23_float-col24_float,0,0,0,file_1002.csv
col25_float-col26_float,0,0,0,file_1002.csv
col27_float-col28_float,0,0,0,file_1002.csv
col31_integer-col32_integer,0,0,0,file_1002.csv
col33_integer-col34_integer,0,0,0,file_1002.csv
col35_integer-col36_integer,0,0,0,file_1002.csv
col1_boolean-col2_boolean,0,0,0,file_1003.csv
col3_boolean-col4_boolean,0,0,0,file_1003.csv
col5_float-col6_float,0,17,21,file_1003.csv
col7_float-col8_float,0,17,19,file_1003.csv
col9_float-col10_float,0,17,18,file_1003.csv
col11_float-col12_float,0,16,51,file_1003.csv
col13_float-col14_float,0,17,24,file_1003.csv
col15_float-col16_float,0,17,18,file_1003.csv
col17_float-col18_float,0,17,18,file_1003.csv
col19_float-col20_float,0,17,17,file_1003.csv
col21_float-col22_float,0,17,18,file_1003.csv
col23_float-col24_float,0,17,20,file_1003.csv
col25_float-col26_float,0,17,3818,file_1003.csv
col27_float-col28_float,0,17,18,file_1003.csv
col31_integer-col32_integer,0,17,96405,file_1003.csv
col33_integer-col34_integer,1506,1523,96405,file_1003.csv
col35_integer-col36_integer,1,17,34,file_1003.csv
col1_boolean-col2_boolean,0,0,0,file_1004.csv
col3_boolean-col4_boolean,0,0,0,file_1004.csv
col5_float-col6_float,0,17,21,file_1004.csv
col7_float-col8_float,0,17,19,file_1004.csv
col9_float-col10_float,0,17,18,file_1004.csv
col11_float-col12_float,0,16,52,file_1004.csv
col13_float-col14_float,0,17,22,file_1004.csv
col15_float-col16_float,0,17,18,file_1004.csv
col17_float-col18_float,0,17,18,file_1004.csv
col19_float-col20_float,0,17,17,file_1004.csv
col21_float-col22_float,0,17,18,file_1004.csv
col23_float-col24_float,0,17,20,file_1004.csv
col25_float-col26_float,0,17,634,file_1004.csv
col27_float-col28_float,0,17,18,file_1004.csv
col31_integer-col32_integer,0,17,632,file_1004.csv
col33_integer-col34_integer,9,26,632,file_1004.csv
col35_integer-col36_integer,1,17,34,file_1004.csv
col1_boolean-col2_boolean,0,0,0,file_1005.csv
col3_boolean-col4_boolean,0,0,0,file_1005.csv
col5_float-col6_float,0,0,0,file_1005.csv
col7_float-col8_float,0,0,0,file_1005.csv
col9_float-col10_float,0,0,0,file_1005.csv
col11_float-col12_float,0,0,0,file_1005.csv
col13_float-col14_float,0,0,0,file_1005.csv
col15_float-col16_float,0,0,0,file_1005.csv
col17_float-col18_float,0,0,0,file_1005.csv
col19_float-col20_float,0,0,0,file_1005.csv
